RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VIVersatility ,ORTG,DRTG
,Luka Doncic,Dal,F-G,22.7,11,34.4,71.6,35.7,15.6,61,0.705,149,0.517,84,0.286,0.485,0.518,24.5,8,12.1,7,39.3,1.18,0.64,4.36,12.9,100.8,102.2
,Luguentz Dort,Okc,G,22.57,9,32.8,68.3,20.2,12.2,38,0.895,50,0.54,56,0.232,0.439,0.517,14.1,4.1,6.2,2,9.9,0.78,0.22,1.89,5.9,101.3,103.7
,Ayo Dosunmu,Chi,G,21.82,10,14.1,29.3,19.4,11.3,5,0.6,36,0.417,17,0.412,0.481,0.489,5.4,2.1,8,0.8,8.2,0.2,0.2,0.7,5.9,96.3,102.5
,Sekou Doumbouya,Lal,F,20.89,1,8.1,16.9,30.4,17,2,0.5,3,1,1,1,1.125,1.025,10,4,25.6,0,0,2,1,1,0,127.4,78.9
,Jeff Dowtin,Gol,G,24.51,2,2.9,5.9,7.5,0,0,0,1,0,0,0,0,0,0,1,18.6,0,0,0,0,0,0,,
,P.J. Dozier,Den,G-F,25.05,11,19.2,40,14.5,10.1,7,0.714,30,0.467,29,0.241,0.415,0.435,4.9,3.2,9.1,1.6,11.6,0.91,0.27,0.64,6.1,96,94.7
,Goran Dragic,Tor,G,35.52,4,15.4,32.1,18.3,3.8,8,1,13,0.385,9,0.222,0.364,0.47,6,2.5,8.8,1.5,13.7,0.5,0.25,0.25,7.3,112.5,100.2
,Andre Drummond,Phi,C,28.26,12,21.7,45.2,18.5,20.6,27,0.667,72,0.486,1,0,0.479,0.518,7.3,11.2,28.1,2.4,15.6,1.25,1.17,1.83,10.7,113.4,91.6
,Chris Duarte,Ind,G,24.42,13,32.6,67.9,20.9,10.8,17,0.765,100,0.45,75,0.4,0.514,0.529,14.8,4.4,7.4,2.1,9.5,0.85,0.08,1.69,6.3,101.9,107.1
,Kevin Durant,Bro,F,33.12,12,34.5,71.8,32.7,14.1,76,0.829,171,0.649,57,0.404,0.638,0.677,29.5,8.4,12.7,5,29.5,0.58,0.67,3.58,12.5,120.2,101.3
